base_pkg,adv_pkg,categories,typomind_cat
html,htmp,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
html,html6,['Suffix Added'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
html,html7,['Suffix Added'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
html,htmol,['Double hit character'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
html,utml,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
html,wtml,"['Bit Flips', 'Bit Flips']",{'1-step D-L dist': 1}
html,jhtml,['Double hit character'],{'1-step D-L dist': 1}
html,htmlx,['Suffix Added'],{'1-step D-L dist': 1}
html-differ,htmldiffer,"['Character Removed', 'Separator Removed']",{'delimiter modification': 1}
html-entities,htmlentities,"['Character Removed', 'Separator Removed']",{'delimiter modification': 1}
html-escaper,html-escape,['Character Removed'],"{'grammatical substitution': True, '1-step D-L dist': 1}"
html-escaper,html-escaped,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
html-loader,htmlloader,"['Character Removed', 'Separator Removed']","{'delimiter modification': 1, '1-step D-L dist': 1}"
html-loader,mhtml-loader,['Double hit character'],"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
html-replace-webpack-plugin,html-replace-webpack-pugin,['Character Removed'],{'1-step D-L dist': 1}
html-styles,html-style,['Character Removed'],"{'grammatical substitution': True, '1-step D-L dist': 1}"
html-styles,html-styled,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
html-tag,htmltag,"['Character Removed', 'Separator Removed']","{'1-step D-L dist': 1, 'delimiter modification': 1}"
html-tags,html-tabs,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
html-tags,htmltags,"['Character Removed', 'Separator Removed']","{'1-step D-L dist': 1, 'delimiter modification': 1}"
html-to-text,html-to-text2,['Suffix Added'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
html-webpack-plugin,html-webpack-plugins,['Suffix Added'],"{'grammatical substitution': True, '1-step D-L dist': 1}"
html-webpack-plugin,html-webpack-plugin2,['Suffix Added'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
html2canvas,html3canvas,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
htmlhint,htmlint,['Character Removed'],{'1-step D-L dist': 1}
htmllint,htmlint,"['Character Removed', 'Character Removed']",{'1-step D-L dist': 1}
htmlparser,htmlparse,['Character Removed'],"{'grammatical substitution': True, '1-step D-L dist': 1}"
htmlparser,htmlparser3,['Suffix Added'],"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
htmlparser,html-parser,['Double hit character'],"{'1-step D-L dist': 1, 'delimiter modification': 1}"
htmlparser2,htmlparser3,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
htmlparser2,html-parser2,['Double hit character'],"{'delimiter modification': 1, '1-step D-L dist': 1}"
http,httq,['Ascii Homoglpyh'],"{'1-step D-L dist': 1, 'homographic replacement': 1}"
http,http.ts,['Suffix Added'],{'prefix/ suffix augmentation': 1}
http,uhttp,['Double hit character'],{'1-step D-L dist': 1}
http,httpjs,['Suffix Added'],{'prefix/ suffix augmentation': 1}
http,ghttp,['Double hit character'],{'1-step D-L dist': 1}
http,httpp,"['Letter Duplicated', 'Letter Duplicated and Replaced']","{'homophonic similarity': True, '1-step D-L dist': 1}"
http,http1,['Suffix Added'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
http,hftp,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']","{'homographic replacement': 1, '1-step D-L dist': 1}"
http,http-ng,['Suffix Added'],{'prefix/ suffix augmentation': 1}
http,httpx,['Suffix Added'],{'1-step D-L dist': 1}
http,http3,['Suffix Added'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
http,mttp,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
http,yhttp,['Double hit character'],{'1-step D-L dist': 1}
http,xhttp,"['Prefix Added', 'Prefix Added']",{'1-step D-L dist': 1}
http,http.js,['Suffix Added'],{'prefix/ suffix augmentation': 1}
http,bhttp,['Double hit character'],{'1-step D-L dist': 1}
http,jhttp,['Double hit character'],{'1-step D-L dist': 1}
http-assert,http-asset,['Character Removed'],{'1-step D-L dist': 1}
http-auth,http-auth2,['Suffix Added'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
http-browserify,http-browserify-ng,['Suffix Added'],{'prefix/ suffix augmentation': 1}
http-call,http-calls,['Suffix Added'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
http-deceiver,http-receiver,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
http-errors,http-error,['Character Removed'],"{'grammatical substitution': True, '1-step D-L dist': 1}"
http-errors,httperrors,"['Character Removed', 'Separator Removed']",{'delimiter modification': 1}
http-headers,http-header,['Character Removed'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
http-https,http.https,['Separator Changed'],{'delimiter modification': 1}
http-proxy,http-fproxy,['After Separator'],{'1-step D-L dist': 1}
http-proxy,httpproxy,"['Character Removed', 'Separator Removed']","{'delimiter modification': 1, '1-step D-L dist': 1}"
http-proxy,http-proxy2,['Suffix Added'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
http-proxy,http-proxy.js,['Suffix Added'],{'prefix/ suffix augmentation': 1}
http-proxy,httpp-proxy,"['Double hit character', 'Letter Duplicated']","{'1-step D-L dist': 1, 'homophonic similarity': True}"
http-proxy-middleware,http-proxy-middelware,['Letters Swapped'],{'1-step D-L dist': 1}
http-server,http-serve,['Character Removed'],"{'grammatical substitution': True, '1-step D-L dist': 1}"
http-server,http_server,['Separator Changed'],{'delimiter modification': 1}
http-server,htp-server,"['Character Removed', 'Character Removed']","{'homophonic similarity': True, '1-step D-L dist': 1}"
http-server,httpserver,"['Character Removed', 'Separator Removed']","{'1-step D-L dist': 1, 'delimiter modification': 1}"
http-server,http-server2,['Suffix Added'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
http-signature,http-signatures,['Suffix Added'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
http-status,http-stats,['Character Removed'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
http-status,httpstatus,"['Character Removed', 'Separator Removed']","{'delimiter modification': 1, '1-step D-L dist': 1}"
http-status-code,httpstatuscode,['Separator Removed'],{'delimiter modification': 1}
http-status-code,http-statuscode,['Character Removed'],{'delimiter modification': 1}
http-status-codes,http-status-codez,['Close Letters on QWERTY Keyboard'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
http2,httpe,['Close Letters on QWERTY Keyboard'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
http2,http1,['Close Letters on QWERTY Keyboard'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
http2,http2s,['Suffix Added'],"{'grammatical substitution': True, '1-step D-L dist': 1}"
http2,httpq,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
http2,http2.js,['Suffix Added'],{'prefix/ suffix augmentation': 1}
http2,http3,['Close Letters on QWERTY Keyboard'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
http2-client,http-client,['Character Removed'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
httperror,httperrors,['Suffix Added'],"{'grammatical substitution': True, '1-step D-L dist': 1}"
httperror,yhttperror,['Double hit character'],"{'prefix/ suffix augmentation': 1, '1-step D-L dist': 1}"
httpie,httpies,['Suffix Added'],"{'grammatical substitution': True, '1-step D-L dist': 1}"
httpie,httple,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']","{'homographic replacement': 1, '1-step D-L dist': 1}"
httpie,httpi,['Character Removed'],"{'1-step D-L dist': 1, 'simplification': 1}"
httpie,httpe,['Character Removed'],{'1-step D-L dist': 1}
httpplease,httplease,"['Character Removed', 'Character Removed']",{'1-step D-L dist': 1}
https,httpe,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
https,httpws,['Double hit character'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
https,httpa,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
https,https.js,['Suffix Added'],{'prefix/ suffix augmentation': 1}
https,httpc,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
https,httpx,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
https,httpq,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
https,httpss,"['Letter Duplicated', 'Letter Duplicated and Replaced', 'Suffix Added']","{'grammatical substitution': True, 'homophonic similarity': True, '1-step D-L dist': 1}"
https-browserify,https-browserify-ng,['Suffix Added'],{'prefix/ suffix augmentation': 1}
hubot,ubot,['Character Removed'],{'1-step D-L dist': 1}
hubot,hobot,['Swap Vowel'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
hubot,nubot,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
hubot,hublot,['Double hit character'],{'1-step D-L dist': 1}
hubot,hubbot,['Letter Duplicated'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
hubot-links,hubot-link,['Character Removed'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
human-interval,human-intervals,['Suffix Added'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
human-signals,human-signal,['Character Removed'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
human-time,humantime,"['Character Removed', 'Separator Removed']","{'delimiter modification': 1, '1-step D-L dist': 1}"
humanize,humanizr,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
humanize,humanizejs,['Suffix Added'],"{'1-step D-L dist': 2, 'prefix/ suffix augmentation': 1}"
humanize-duration,humanise-duration,['Close Letters on QWERTY Keyboard'],"{'homophonic similarity': True, '1-step D-L dist': 1, 'alternate spelling': 1}"
hummus,humus,"['Character Removed', 'Character Removed']",{'1-step D-L dist': 1}
humps,bumps,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']","{'homographic replacement': 1, '1-step D-L dist': 1}"
humps,tumps,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
humps,hump,['Character Removed'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
husky,hysky,"['Close Letters on QWERTY Keyboard', 'Swap Vowel']","{'homophonic similarity': True, '1-step D-L dist': 1}"
husky,huskyjs,['Suffix Added'],"{'1-step D-L dist': 2, 'prefix/ suffix augmentation': 1}"
husky,musky,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
husky,husk,['Character Removed'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
hxz-api,hx-api,['Character Removed'],{'1-step D-L dist': 1}
hygen,h5gen,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
hygen,htgen,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
hygen,tygen,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
hygen,hagen,['Swap Vowel'],{'1-step D-L dist': 1}
hygen,mygen,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
hygen,yygen,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
hyperid,hyperd,['Character Removed'],{'1-step D-L dist': 1}
hyperquest,hyperquext,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
hyperscript,typerscript,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
hyperx,hyperc,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
hyperx,hyperz,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
hyperx,hypex,['Character Removed'],{'1-step D-L dist': 1}
hyperx,hyper,['Character Removed'],{'1-step D-L dist': 1}
hyperx,hyperd,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
hyperx,hypera,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
hyperx,typerx,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
hyperx,hyprx,['Character Removed'],{'1-step D-L dist': 1}
hyphen,typhen,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
hyphen,uhyphen,['Double hit character'],{'1-step D-L dist': 1}
hyphen,hypher,['Ascii Homoglpyh'],"{'1-step D-L dist': 1, 'homographic replacement': 1}"
i18n,i18n2,['Suffix Added'],"{'prefix/ suffix augmentation': 1, '1-step D-L dist': 1}"
i18n,ji18n,['Double hit character'],{'1-step D-L dist': 1}
i18n,i19n,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
i18n,i18n.js,['Suffix Added'],{'prefix/ suffix augmentation': 1}
i18n,i18njs,['Suffix Added'],{'prefix/ suffix augmentation': 1}
i18n,j18n,"['Ascii Homoglpyh', 'Bit Flips', 'Close Letters on QWERTY Keyboard']","{'homographic replacement': 1, '1-step D-L dist': 1}"
i18n,a18n,['Swap Vowel'],{'1-step D-L dist': 1}
i18n,i81n,['Letters Swapped'],{'1-step D-L dist': 1}
i18n,o18n,"['Close Letters on QWERTY Keyboard', 'Swap Vowel']",{'1-step D-L dist': 1}
i18n,e18n,['Swap Vowel'],{'1-step D-L dist': 1}
i18n-2,i18n2,"['Character Removed', 'Separator Removed']",{'delimiter modification': 1}
i18n-js,i18njs,"['Character Removed', 'Separator Removed']","{'asemantic substitution': 1, '1-step D-L dist': 1}"
i18n-js,i18n-jsx,['Suffix Added'],{'1-step D-L dist': 1}
i18n-js,i18n.js,['Separator Changed'],{'delimiter modification': 1}
i18n-js,i18n-ejs,['After Separator'],"{'1-step D-L dist': 1, 'asemantic substitution': 1}"
i18n-js,i18n-s,['Character Removed'],{'1-step D-L dist': 1}
iban,ivan,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
iban,aban,['Swap Vowel'],{'1-step D-L dist': 1}
iban,ihan,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
iban,kiban,['Double hit character'],"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
iban,ibar,['Ascii Homoglpyh'],"{'homographic replacement': 1, '1-step D-L dist': 1}"
iban,oban,"['Close Letters on QWERTY Keyboard', 'Swap Vowel']",{'1-step D-L dist': 1}
iban,uban,"['Close Letters on QWERTY Keyboard', 'Swap Vowel']",{'1-step D-L dist': 1}
iban,ibag,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
ibm-watson,ibmwatson,"['Character Removed', 'Separator Removed']","{'delimiter modification': 1, '1-step D-L dist': 1}"
ical-generator,cal-generator,['Character Removed'],"{'1-step D-L dist': 1, 'simplification': 1}"
ical.js,cal.js,['Character Removed'],{'1-step D-L dist': 1}
ice-cap,icecap,"['Character Removed', 'Separator Removed']",{'delimiter modification': 1}
icepick,icepack,['Swap Vowel'],{'1-step D-L dist': 1}
icheck,jcheck,"['Ascii Homoglpyh', 'Bit Flips', 'Close Letters on QWERTY Keyboard']","{'homographic replacement': 1, '1-step D-L dist': 1}"
icheck,echeck,['Swap Vowel'],{'1-step D-L dist': 1}
icheck,ucheck,"['Close Letters on QWERTY Keyboard', 'Swap Vowel']",{'1-step D-L dist': 1}
icheck,ichecks,['Suffix Added'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
icheck,kcheck,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
icheck,ncheck,['Bit Flips'],{'1-step D-L dist': 1}
iconv,fconv,['Bit Flips'],{'1-step D-L dist': 1}
iconv,econv,['Swap Vowel'],{'1-step D-L dist': 1}
iconv,lconv,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']","{'homographic replacement': 1, '1-step D-L dist': 1}"
iconv,icon,['Character Removed'],{'1-step D-L dist': 1}
iconv,nconv,['Bit Flips'],{'1-step D-L dist': 1}
iconv,jconv,"['Ascii Homoglpyh', 'Bit Flips', 'Close Letters on QWERTY Keyboard']","{'1-step D-L dist': 1, 'homographic replacement': 1}"
iconv,conv,['Character Removed'],{'1-step D-L dist': 1}
iconv,iconf,['Close Letters on QWERTY Keyboard'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
ics,icsjs,['Suffix Added'],{'prefix/ suffix augmentation': 1}
ics,jcs,"['Ascii Homoglpyh', 'Bit Flips', 'Close Letters on QWERTY Keyboard']",{'homographic replacement': 1}
ics,ic,['Character Removed'],"{'simplification': 1, 'grammatical substitution': True}"
ics,ics.ts,['Suffix Added'],{'prefix/ suffix augmentation': 1}
ics,lcs,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']",{'homographic replacement': 1}
ics,cs,['Character Removed'],{'simplification': 1}
idb,jdb,"['Ascii Homoglpyh', 'Bit Flips', 'Close Letters on QWERTY Keyboard']",{'homographic replacement': 1}
idb,idp,['Ascii Homoglpyh'],{'homographic replacement': 1}
idb,idd,['Ascii Homoglpyh'],{'homographic replacement': 1}
idb,db,['Character Removed'],{'simplification': 1}
idb,id,['Character Removed'],{'simplification': 1}
idb,ldb,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']",{'homographic replacement': 1}
idb,ipb,['Ascii Homoglpyh'],{'homographic replacement': 1}
idb-wrapper,db-wrapper,['Character Removed'],{'1-step D-L dist': 1}
idb-wrapper,idb-wrapped,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
idle-js,idlejs,"['Character Removed', 'Separator Removed']","{'1-step D-L dist': 1, 'delimiter modification': 1}"
idle-js,idle.js,['Separator Changed'],{'delimiter modification': 1}
ids,oids,['Double hit character'],{'prefix/ suffix augmentation': 1}
ids,ds,['Character Removed'],{'simplification': 1}
ids,ips,['Ascii Homoglpyh'],{'homographic replacement': 1}
ids,lids,['Double hit character'],{'prefix/ suffix augmentation': 1}
ids,uids,['Double hit character'],{'prefix/ suffix augmentation': 1}
ids,ibs,['Ascii Homoglpyh'],{'homographic replacement': 1}
ids,lds,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']",{'homographic replacement': 1}
ids,kids,['Double hit character'],{'prefix/ suffix augmentation': 1}
ids,jds,"['Ascii Homoglpyh', 'Bit Flips', 'Close Letters on QWERTY Keyboard']",{'homographic replacement': 1}
ids,id,['Character Removed'],"{'simplification': 1, 'grammatical substitution': True}"
idx,jdx,"['Ascii Homoglpyh', 'Bit Flips', 'Close Letters on QWERTY Keyboard']",{'homographic replacement': 1}
idx,id,['Character Removed'],{'simplification': 1}
idx,dx,['Character Removed'],{'simplification': 1}
idx,iidx,['Letter Duplicated'],{'prefix/ suffix augmentation': 1}
ieee754,ieee754js,['Suffix Added'],"{'prefix/ suffix augmentation': 1, '1-step D-L dist': 2}"
if-env,ib-env,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
if-env,ifenv,"['Character Removed', 'Separator Removed']",{'delimiter modification': 1}
iferr,ferr,['Character Removed'],"{'simplification': 1, '1-step D-L dist': 1}"
iferr,ifer,"['Character Removed', 'Character Removed']","{'1-step D-L dist': 1, 'simplification': 1}"
ignore,ignores,['Suffix Added'],"{'grammatical substitution': True, '1-step D-L dist': 1}"
ignore,ignor,['Character Removed'],"{'homophonic similarity': True, '1-step D-L dist': 1, 'simplification': 1}"
ignore,ignorejs,['Suffix Added'],"{'1-step D-L dist': 2, 'prefix/ suffix augmentation': 1}"
ignorefs,ignores,['Character Removed'],{'1-step D-L dist': 1}
iis,ijs,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']",{'homographic replacement': 1}
iis,jis,"['Ascii Homoglpyh', 'Bit Flips', 'Close Letters on QWERTY Keyboard']",{'homographic replacement': 1}
iis,lis,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']",{'homographic replacement': 1}
iis,ii,['Character Removed'],"{'simplification': 1, 'grammatical substitution': True}"
image-palette,image-palette2,['Suffix Added'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
image-q,imageq,"['Character Removed', 'Separator Removed']","{'1-step D-L dist': 1, 'simplification': 1}"
image-q,image-w,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
image-size,imagesize,"['Character Removed', 'Separator Removed']","{'delimiter modification': 1, '1-step D-L dist': 1}"
image-type,imagetype,"['Character Removed', 'Separator Removed']","{'1-step D-L dist': 1, 'delimiter modification': 1}"
imagemagick,imagemagick2,['Suffix Added'],"{'homophonic similarity': True, '1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
imagemin,imageman,['Swap Vowel'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
imagemin,imagemin2,['Suffix Added'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
imagemin-pngquant,imagemin-pngquant2,['Suffix Added'],"{'prefix/ suffix augmentation': 1, '1-step D-L dist': 1}"
imagemin-webp,imagemin-web,['Character Removed'],{'1-step D-L dist': 1}
imap,fmap,['Bit Flips'],{'1-step D-L dist': 1}
imap,lmap,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']","{'homographic replacement': 1, '1-step D-L dist': 1}"
imap,imup,['Swap Vowel'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
imap,hmap,['Bit Flips'],{'1-step D-L dist': 1}
imap,ihap,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
imap,immp,['Letter Duplicated and Replaced'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
imap,amap,['Swap Vowel'],{'1-step D-L dist': 1}
imap,inmap,['Double hit character'],{'1-step D-L dist': 1}
imap,kmap,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
imap,umap,"['Close Letters on QWERTY Keyboard', 'Swap Vowel']",{'1-step D-L dist': 1}
imap,emap,['Swap Vowel'],{'1-step D-L dist': 1}
imap,vmap,"['Bit Flips', 'Bit Flips']",{'1-step D-L dist': 1}
imap,jmap,"['Ascii Homoglpyh', 'Bit Flips', 'Close Letters on QWERTY Keyboard']","{'homographic replacement': 1, '1-step D-L dist': 1}"
imap-simple,map-simple,['Character Removed'],{'1-step D-L dist': 1}
imask,imasi,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
imask,imaskjs,['Suffix Added'],"{'prefix/ suffix augmentation': 1, '1-step D-L dist': 2}"
imask,iask,['Character Removed'],{'1-step D-L dist': 1}
imask,mask,['Character Removed'],{'1-step D-L dist': 1}
img-loader,img-loaded,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
img-loader,imgloader,"['Character Removed', 'Separator Removed']","{'delimiter modification': 1, '1-step D-L dist': 1}"
immer,immerx,['Suffix Added'],{'1-step D-L dist': 1}
immer,immers,['Suffix Added'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
immer,imme,['Character Removed'],"{'1-step D-L dist': 1, 'simplification': 1}"
immer,immed,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
immer,ammer,['Swap Vowel'],{'1-step D-L dist': 1}
immer,imer,"['Character Removed', 'Character Removed']","{'homophonic similarity': True, '1-step D-L dist': 1}"
immutability-helper,immutability-helper2,['Suffix Added'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
immutability-helper,immutability-helpers,['Suffix Added'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
immutable,immutablets,['Suffix Added'],"{'1-step D-L dist': 2, 'prefix/ suffix augmentation': 1}"
immutable,immutables,['Suffix Added'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
immutable,uimmutable,['Double hit character'],{'1-step D-L dist': 1}
immutable,imutable,"['Character Removed', 'Character Removed']","{'homophonic similarity': True, '1-step D-L dist': 1}"
immutable,immutably,['Swap Vowel'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
immutable,immurable,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
immutable,immutable3,['Suffix Added'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
import,impart,"['Ascii Homoglpyh', 'Swap Vowel']","{'homographic replacement': 1, 'homophonic similarity': True, '1-step D-L dist': 1}"
import,iport,['Character Removed'],{'1-step D-L dist': 1}
import,emport,['Swap Vowel'],{'1-step D-L dist': 1}
import,import.js,['Suffix Added'],{'prefix/ suffix augmentation': 1}
import,importjs,['Suffix Added'],"{'1-step D-L dist': 2, 'prefix/ suffix augmentation': 1}"
import,imprt,['Character Removed'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
import,impor,['Character Removed'],"{'simplification': 1, '1-step D-L dist': 1}"
import,inport,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']","{'homographic replacement': 1, '1-step D-L dist': 1}"
import,imports,['Suffix Added'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
import-glob-loader,import-glob-loader2,['Suffix Added'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
import-jsx,import-js,['Character Removed'],{'1-step D-L dist': 1}
import-local,import-glocal,['After Separator'],{'1-step D-L dist': 1}
import-local,import-locals,['Suffix Added'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
import-modules,import-module,['Character Removed'],"{'grammatical substitution': True, '1-step D-L dist': 1}"
imports-loader,import-loader,['Character Removed'],"{'grammatical substitution': True, '1-step D-L dist': 1}"
imsc,emsc,['Swap Vowel'],{'1-step D-L dist': 1}
imsc,imss,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
imsc,imac,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
imsc,imscc,"['Letter Duplicated', 'Letter Duplicated and Replaced']","{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
imsc,hmsc,['Bit Flips'],{'1-step D-L dist': 1}
imul,imui,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']","{'homographic replacement': 1, '1-step D-L dist': 1}"
imul,imup,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
imul,imml,['Letter Duplicated and Replaced'],{'1-step D-L dist': 1}
indent,ident,['Character Removed'],{'1-step D-L dist': 1}
indent,indent.js,['Suffix Added'],{'prefix/ suffix augmentation': 1}
indent,invent,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
index-of,index_of,['Separator Changed'],{'delimiter modification': 1}
indexof,indexor,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
indx,inedx,['Double hit character'],{'1-step D-L dist': 1}
indx,iidx,['Letter Duplicated and Replaced'],{'1-step D-L dist': 1}
indx,inda,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
indx,inwx,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
indx,iudx,['Ascii Homoglpyh'],"{'homographic replacement': 1, '1-step D-L dist': 1}"
inert,insert,['Double hit character'],{'1-step D-L dist': 1}
inert,inet,['Character Removed'],{'1-step D-L dist': 1}
inferno,inferno2,['Suffix Added'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
inferno,inferno1,['Suffix Added'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
inflation,inflaton,['Character Removed'],{'1-step D-L dist': 1}
inflection,inflections,['Suffix Added'],"{'1-step D-L dist': 1, 'grammatical substitution': True}"
inflection,inflection2,['Suffix Added'],"{'1-step D-L dist': 1, 'homophonic similarity': True}"
influx,inflex,['Swap Vowel'],"{'homophonic similarity': True, '1-step D-L dist': 1}"
influx,iflux,['Character Removed'],{'1-step D-L dist': 1}
influx,unflux,"['Close Letters on QWERTY Keyboard', 'Swap Vowel']",{'1-step D-L dist': 1}
informed,informer,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
informed,unformed,"['Close Letters on QWERTY Keyboard', 'Swap Vowel']",{'1-step D-L dist': 1}
ingest,ingestjs,['Suffix Added'],"{'1-step D-L dist': 2, 'prefix/ suffix augmentation': 1}"
ingest,invest,['Close Letters on QWERTY Keyboard'],{'1-step D-L dist': 1}
ingest,ngest,['Character Removed'],"{'1-step D-L dist': 1, 'simplification': 1}"
inherit,inheritjs,['Suffix Added'],"{'1-step D-L dist': 2, 'prefix/ suffix augmentation': 1}"
